"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.973","0.478","4.139","0.042"," 0.036"," 1.910"," 0.186"," 1.760"
"c_age"," 0.036","0.028","1.696","0.193","-0.018"," 0.091","-0.010"," 0.082"
"c_is_male"," 0.553","0.615","0.809","0.368","-0.652"," 1.759","-0.458"," 1.565"
"c_is_latino","-1.816","0.653","7.720","0.005","-3.097","-0.535","-2.891","-0.741"
"c_is_not_latino_and_black","-1.270","0.820","2.399","0.121","-2.877"," 0.337","-2.618"," 0.079"
"c_is_not_latino_and_other","-1.270","0.834","2.317","0.128","-2.905"," 0.365","-2.642"," 0.102"
"c_baseline_tobacco_history"," 0.079","0.052","2.296","0.130","-0.023"," 0.180","-0.007"," 0.164"
"c_has_partner"," 0.240","0.612","0.154","0.695","-0.959"," 1.439","-0.766"," 1.247"
"c_income_val"," 0.097","0.102","0.901","0.343","-0.103"," 0.298","-0.071"," 0.266"
"c_any_prompt_counts"," 0.253","0.185","1.864","0.172","-0.110"," 0.617","-0.052"," 0.558"
"n_engaged","-0.152","0.118","1.658","0.198","-0.384"," 0.079","-0.346"," 0.042"
