"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 4.051","0.628","41.598","0.000"," 2.820"," 5.281"," 3.018"," 5.083"
"c_age"," 0.044","0.030"," 2.079","0.149","-0.016"," 0.104","-0.006"," 0.094"
"c_is_male"," 1.115","0.642"," 3.020","0.082","-0.143"," 2.372"," 0.060"," 2.170"
"c_is_latino","-2.238","0.762"," 8.630","0.003","-3.731","-0.745","-3.491","-0.985"
"c_is_not_latino_and_black","-3.157","0.948","11.094","0.001","-5.015","-1.299","-4.716","-1.598"
"c_is_not_latino_and_other","-0.637","0.998"," 0.407","0.524","-2.592"," 1.319","-2.278"," 1.005"
"c_baseline_tobacco_history"," 0.202","0.058","12.209","0.000"," 0.089"," 0.315"," 0.107"," 0.297"
"c_has_partner"," 1.121","0.691"," 2.634","0.105","-0.233"," 2.475","-0.015"," 2.258"
"c_income_val","-0.117","0.110"," 1.129","0.288","-0.333"," 0.099","-0.298"," 0.064"
"c_any_prompt_counts"," 0.378","0.210"," 3.247","0.072","-0.033"," 0.789"," 0.033"," 0.723"
"n_engaged","-0.433","0.159"," 7.399","0.007","-0.745","-0.121","-0.695","-0.171"
