"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"Indicator for High vs. Low"," 0.406545385","-0.068961648","0.88205242","0.28520636"," 1.4254429","69.000","0.15853739"
"Indicator for High vs. Low x Day in Study","-0.099504104","-0.314420298","0.11541209","0.12890549","-0.7719152","69.000","0.44280043"
"Indicator for High vs. Low x Square of Day in Study"," 0.008510267","-0.011450340","0.02847087","0.01197226"," 0.7108324","69.000","0.47958407"
"High vs. Low at  1"," 0.315551549"," 0.022890919","0.60821218","0.17553615"," 1.7976443","69.000","0.07660859"
"High vs. Low at  2"," 0.241578247"," 0.077341327","0.40581517","0.09850835"," 2.4523631","69.000","0.01672555"
"High vs. Low at  3"," 0.184625479"," 0.068390718","0.30086024","0.06971693"," 2.6482157","69.000","0.01002042"
"High vs. Low at  4"," 0.144693246"," 0.009579437","0.27980706","0.08104048"," 1.7854441","69.000","0.07858386"
"High vs. Low at  5"," 0.121781548","-0.032383582","0.27594668","0.09246735"," 1.3170221","69.000","0.19218845"
"High vs. Low at  6"," 0.115890384","-0.032984172","0.26476494","0.08929409"," 1.2978505","69.000","0.19866064"
"High vs. Low at  7"," 0.127019754"," 0.004024323","0.25001519","0.07377195"," 1.7217894","69.000","0.08958820"
"High vs. Low at  8"," 0.155169659"," 0.037255575","0.27308374","0.07072418"," 2.1940113","69.000","0.03160507"
