"","estimate","LCL90","UCL90","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)"," 0.484"," 0.102"," 0.865","0.229"," 2.115","69.000","0.038"
"High Effort Prompt (versus No Prompt) x Day in Study","-0.117","-0.275"," 0.040","0.095","-1.240","69.000","0.219"
"High Effort Prompt (versus No Prompt) x Day in Study x Day in Study"," 0.010","-0.005"," 0.025","0.009"," 1.072","69.000","0.288"
"Low Effort Prompt (versus No Prompt)"," 0.077","-0.380"," 0.534","0.274"," 0.281","69.000","0.779"
"Low Effort Prompt (versus No Prompt) x Day in Study","-0.018","-0.217"," 0.182","0.120","-0.148","69.000","0.882"
"Low Effort Prompt (versus No Prompt) x Day in Study x Day in Study"," 0.001","-0.018"," 0.020","0.011"," 0.098","69.000","0.922"
"Intercept","-0.401","-0.845"," 0.044","0.267","-1.504","69.000","0.137"
"age"," 0.002","-0.004"," 0.008","0.004"," 0.482","69.000","0.632"
"is_male","-0.135","-0.373"," 0.102","0.142","-0.951","69.000","0.345"
"is_latino"," 0.210","-0.027"," 0.447","0.142"," 1.478","69.000","0.144"
"is_not_latino_and_black"," 0.137","-0.089"," 0.363","0.135"," 1.013","69.000","0.315"
"is_not_latino_and_other"," 0.133","-0.176"," 0.443","0.186"," 0.718","69.000","0.475"
"baseline_tobacco_history"," 0.001","-0.011"," 0.012","0.007"," 0.075","69.000","0.941"
"has_partner"," 0.002","-0.173"," 0.178","0.105"," 0.023","69.000","0.982"
"income_val","-0.004","-0.031"," 0.023","0.016","-0.257","69.000","0.798"
"hour_coinflip_local","-0.001","-0.009"," 0.008","0.005","-0.125","69.000","0.901"
"days_between_v1_and_coinflip_local"," 0.094","-0.009"," 0.196","0.061"," 1.529","69.000","0.131"
"days_between_v1_and_coinflip_local_squared","-0.008","-0.018"," 0.002","0.006","-1.387","69.000","0.170"
"any_response_2qs"," 0.031","-0.082"," 0.144","0.068"," 0.454","69.000","0.652"
"any_recent_eligible_dp","-1.142","-1.448","-0.836","0.183","-6.224","69.000","0.000"
"engagement_most_recent_eligible"," 0.867"," 0.650"," 1.084","0.130"," 6.662","69.000","0.000"
