"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.129","0.484","5.438","0.020"," 0.180"," 2.077"," 0.333"," 1.925"
"c_age"," 0.044","0.027","2.593","0.107","-0.010"," 0.098","-0.001"," 0.089"
"c_is_male"," 0.499","0.616","0.654","0.419","-0.709"," 1.707","-0.515"," 1.512"
"c_is_latino","-1.876","0.639","8.630","0.003","-3.128","-0.624","-2.926","-0.826"
"c_is_not_latino_and_black","-1.162","0.803","2.093","0.148","-2.735"," 0.412","-2.482"," 0.159"
"c_is_not_latino_and_other","-1.410","0.833","2.865","0.091","-3.042"," 0.223","-2.780","-0.040"
"c_baseline_tobacco_history"," 0.067","0.048","1.929","0.165","-0.027"," 0.161","-0.012"," 0.146"
"c_has_partner"," 0.580","0.556","1.089","0.297","-0.509"," 1.669","-0.334"," 1.494"
"c_income_val"," 0.071","0.104","0.465","0.495","-0.133"," 0.276","-0.100"," 0.243"
"c_any_prompt_counts"," 0.308","0.187","2.711","0.100","-0.059"," 0.675"," 0.000"," 0.616"
"n_engaged","-0.172","0.117","2.154","0.142","-0.402"," 0.058","-0.365"," 0.021"
