"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)"," 0.285","0.125"," 0.040","0.529"," 0.080","0.490","0.022"
"Treatment x Hour","-0.012","0.008","-0.028","0.005","-0.025","0.002","0.163"
"Treatment Effect on Hour 0"," 0.285","0.125"," 0.040","0.529"," 0.080","0.490","0.022"
"Treatment Effect on Hour 1"," 0.273","0.117"," 0.044","0.502"," 0.081","0.466","0.019"
"Treatment Effect on Hour 2"," 0.262","0.109"," 0.048","0.475"," 0.082","0.441","0.016"
"Treatment Effect on Hour 3"," 0.250","0.101"," 0.052","0.449"," 0.084","0.417","0.013"
"Treatment Effect on Hour 4"," 0.239","0.094"," 0.055","0.422"," 0.085","0.392","0.011"
"Treatment Effect on Hour 5"," 0.227","0.086"," 0.059","0.395"," 0.086","0.368","0.008"
"Treatment Effect on Hour 6"," 0.215","0.078"," 0.062","0.369"," 0.086","0.345","0.006"
"Treatment Effect on Hour 7"," 0.204","0.071"," 0.064","0.343"," 0.087","0.321","0.004"
"Treatment Effect on Hour 8"," 0.192","0.064"," 0.067","0.318"," 0.087","0.298","0.003"
"Treatment Effect on Hour 9"," 0.181","0.057"," 0.068","0.293"," 0.086","0.275","0.002"
"Treatment Effect on Hour 10"," 0.169","0.051"," 0.069","0.270"," 0.085","0.253","0.001"
"Treatment Effect on Hour 11"," 0.158","0.046"," 0.068","0.247"," 0.083","0.233","0.001"
"Treatment Effect on Hour 12"," 0.146","0.041"," 0.066","0.226"," 0.079","0.213","0.000"
"Treatment Effect on Hour 13"," 0.135","0.037"," 0.061","0.208"," 0.073","0.196","0.000"
"Treatment Effect on Hour 14"," 0.123","0.036"," 0.053","0.193"," 0.064","0.182","0.001"
"Treatment Effect on Hour 15"," 0.111","0.036"," 0.041","0.182"," 0.053","0.170","0.002"
"Treatment Effect on Hour 16"," 0.100","0.038"," 0.026","0.174"," 0.038","0.162","0.008"
"Treatment Effect on Hour 17"," 0.088","0.041"," 0.007","0.169"," 0.020","0.156","0.032"
"Treatment Effect on Hour 18"," 0.077","0.046","-0.014","0.167"," 0.001","0.153","0.096"
"Treatment Effect on Hour 19"," 0.065","0.052","-0.036","0.167","-0.020","0.150","0.208"
"Treatment Effect on Hour 20"," 0.054","0.058","-0.060","0.168","-0.042","0.149","0.355"
"Treatment Effect on Hour 21"," 0.042","0.065","-0.085","0.169","-0.064","0.149","0.516"
"Treatment Effect on Hour 22"," 0.031","0.072","-0.110","0.171","-0.088","0.149","0.671"
"Treatment Effect on Hour 23"," 0.019","0.079","-0.136","0.174","-0.111","0.149","0.810"
"Treatment Effect on Hour 24"," 0.007","0.087","-0.162","0.177","-0.135","0.150","0.931"
