"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.432","0.100"," 0.237"," 0.628","0.000"
"age"," 0.001","0.001","-0.002"," 0.004","0.562"
"is_male","-0.075","0.043","-0.158"," 0.009","0.080"
"is_latino"," 0.065","0.046","-0.025"," 0.155","0.156"
"is_not_latino_and_black"," 0.069","0.044","-0.018"," 0.156","0.120"
"is_not_latino_and_other"," 0.074","0.067","-0.058"," 0.206","0.273"
"baseline_tobacco_history"," 0.001","0.002","-0.004"," 0.006","0.706"
"has_partner","-0.029","0.037","-0.101"," 0.042","0.423"
"income_val"," 0.000","0.006","-0.011"," 0.012","0.943"
"hour_coinflip_local"," 0.004","0.002","-0.001"," 0.008","0.102"
"days_between_v1_and_coinflip_local"," 0.007","0.003"," 0.000"," 0.014","0.041"
"any_response_2qs"," 0.053","0.022"," 0.010"," 0.095","0.016"
"any_recent_eligible_dp","-0.234","0.071","-0.372","-0.095","0.001"
"engagement_most_recent_eligible"," 0.306","0.032"," 0.244"," 0.369","0.000"
