"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)","-0.688","0.370","-1.412"," 0.037","0.063"
"age"," 0.002","0.003","-0.004"," 0.008","0.516"
"is_male","-0.138","0.094","-0.322"," 0.046","0.141"
"is_latino"," 0.121","0.097","-0.069"," 0.311","0.212"
"is_not_latino_and_black"," 0.117","0.089","-0.057"," 0.291","0.189"
"is_not_latino_and_other"," 0.121","0.136","-0.145"," 0.387","0.374"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","0.758"
"has_partner","-0.050","0.074","-0.195"," 0.094","0.496"
"income_val"," 0.002","0.011","-0.019"," 0.024","0.836"
"hour_coinflip_local"," 0.008","0.004"," 0.000"," 0.015","0.050"
"days_between_v1_and_coinflip_local"," 0.023","0.010"," 0.003"," 0.044","0.025"
"any_response_2qs"," 0.075","0.043","-0.009"," 0.159","0.079"
"any_recent_eligible_dp","-0.684","0.339","-1.348","-0.021","0.043"
"engagement_most_recent_eligible"," 0.594","0.076"," 0.446"," 0.743","0.000"
