"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.203","0.245","-0.278"," 0.684","0.408"
"age"," 0.001","0.002","-0.003"," 0.004","0.771"
"is_male","-0.074","0.052","-0.176"," 0.028","0.157"
"is_latino"," 0.069","0.055","-0.040"," 0.178","0.213"
"is_not_latino_and_black"," 0.060","0.050","-0.039"," 0.158","0.235"
"is_not_latino_and_other"," 0.132","0.084","-0.032"," 0.297","0.116"
"baseline_tobacco_history"," 0.003","0.003","-0.003"," 0.008","0.328"
"has_partner","-0.015","0.043","-0.100"," 0.070","0.732"
"income_val","-0.001","0.007","-0.014"," 0.012","0.841"
"hour_coinflip_local","-0.007","0.002","-0.011","-0.002","0.005"
"days_between_v1_and_coinflip_local"," 0.004","0.004","-0.004"," 0.011","0.366"
"any_response_2qs"," 0.143","0.027"," 0.090"," 0.196","0.000"
"any_recent_eligible_dp"," 0.087","0.234","-0.371"," 0.546","0.709"
"engagement_most_recent_eligible"," 0.143","0.017"," 0.110"," 0.176","0.000"
