"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"Treatment (Prompt = 1, No Prompt = 0)","0.02219","0.00854","50.00000","0.03090","0.28196","0.39269","81.00000","56.77606","616.31971","51.98697","0.30808"
"Treatment x Day","0.00376","0.00185","50.00000","0.00565","0.33467","0.50302","81.00000","52.60851","437.48169","46.96128","0.36130"
"Treatment x Square of Day","0.00003","0.00002","50.00000","0.00005","0.35722","0.55574","81.00000","50.82553","383.99396","44.88459","0.38407"
"Treatment Effect on Day 1","0.00949","0.00333","50.00000","0.01289","0.26370","0.35815","81.00000","58.22011","704.64178","53.77687","0.28964"
"Treatment Effect on Day 2","0.00364","0.00126","50.00000","0.00493","0.26093","0.35306","81.00000","58.43906","719.67578","54.05008","0.28684"
"Treatment Effect on Day 3","0.00168","0.00083","50.00000","0.00253","0.33375","0.50093","81.00000","52.68159","439.90793","47.04739","0.36037"
"Treatment Effect on Day 4","0.00143","0.00096","50.00000","0.00241","0.40561","0.68240","81.00000","46.99928","297.83725","40.59354","0.43288"
"Treatment Effect on Day 5","0.00151","0.00102","50.00000","0.00255","0.40741","0.68751","81.00000","46.85694","295.21116","40.43841","0.43469"
"Treatment Effect on Day 6","0.00135","0.00081","50.00000","0.00217","0.38040","0.61394","81.00000","48.99287","338.62677","42.80046","0.40745"
"Treatment Effect on Day 7","0.00115","0.00057","50.00000","0.00173","0.33339","0.50012","81.00000","52.70995","440.85490","47.08082","0.36001"
"Treatment Effect on Day 8","0.00196","0.00096","50.00000","0.00293","0.33284","0.49889","81.00000","52.75316","442.30359","47.13179","0.35946"
