"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)","-0.607","0.367","-1.327"," 0.112","0.098"
"age"," 0.002","0.003","-0.004"," 0.008","0.522"
"is_male","-0.140","0.094","-0.324"," 0.045","0.137"
"is_latino"," 0.120","0.097","-0.070"," 0.309","0.216"
"is_not_latino_and_black"," 0.116","0.089","-0.058"," 0.290","0.191"
"is_not_latino_and_other"," 0.123","0.136","-0.144"," 0.390","0.366"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","0.768"
"has_partner","-0.048","0.074","-0.192"," 0.096","0.517"
"income_val"," 0.002","0.011","-0.019"," 0.024","0.830"
"hour_coinflip_local"," 0.008","0.004"," 0.000"," 0.015","0.042"
"days_between_v1_and_coinflip_local"," 0.011","0.007","-0.003"," 0.025","0.110"
"any_response_2qs"," 0.077","0.043","-0.006"," 0.161","0.070"
"any_recent_eligible_dp","-0.704","0.338","-1.367","-0.041","0.037"
"engagement_most_recent_eligible"," 0.593","0.076"," 0.445"," 0.741","0.000"
