"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)","-0.953","0.427","-1.790","-0.115","0.026"
"age"," 0.002","0.003","-0.004"," 0.008","0.498"
"is_male","-0.137","0.094","-0.320"," 0.047","0.144"
"is_latino"," 0.116","0.097","-0.073"," 0.305","0.230"
"is_not_latino_and_black"," 0.113","0.088","-0.059"," 0.285","0.199"
"is_not_latino_and_other"," 0.123","0.136","-0.143"," 0.390","0.365"
"baseline_tobacco_history"," 0.001","0.004","-0.008"," 0.010","0.800"
"has_partner","-0.047","0.073","-0.190"," 0.097","0.523"
"income_val"," 0.003","0.011","-0.019"," 0.024","0.799"
"hour_coinflip_local"," 0.053","0.033","-0.012"," 0.117","0.108"
"I(hour_coinflip_local * hour_coinflip_local)","-0.001","0.001","-0.004"," 0.001","0.217"
"days_between_v1_and_coinflip_local"," 0.011","0.007","-0.003"," 0.024","0.125"
"any_response_2qs"," 0.075","0.042","-0.008"," 0.159","0.076"
"any_recent_eligible_dp","-0.693","0.339","-1.357","-0.029","0.041"
"engagement_most_recent_eligible"," 0.596","0.076"," 0.446"," 0.745","0.000"
