"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.208","0.243","-0.268"," 0.685","0.391"
"age"," 0.001","0.002","-0.003"," 0.004","0.768"
"is_male","-0.074","0.052","-0.177"," 0.028","0.156"
"is_latino"," 0.070","0.056","-0.039"," 0.180","0.209"
"is_not_latino_and_black"," 0.060","0.050","-0.039"," 0.159","0.234"
"is_not_latino_and_other"," 0.132","0.085","-0.034"," 0.299","0.118"
"baseline_tobacco_history"," 0.003","0.003","-0.003"," 0.008","0.335"
"has_partner","-0.014","0.044","-0.100"," 0.071","0.743"
"income_val","-0.001","0.007","-0.014"," 0.012","0.851"
"hour_coinflip_local","-0.006","0.002","-0.011","-0.002","0.006"
"days_between_v1_and_coinflip_local"," 0.003","0.004","-0.004"," 0.011","0.396"
"any_response_2qs"," 0.141","0.027"," 0.088"," 0.194","0.000"
"any_recent_eligible_dp"," 0.101","0.232","-0.354"," 0.555","0.665"
"engagement_most_recent_eligible"," 0.143","0.017"," 0.110"," 0.177","0.000"
