"","Estimate","StdErr","LCL","UCL","p_value"
"Intercept","-0.821","0.186","-1.186","-0.457","0.000"
"age"," 0.002","0.003","-0.004"," 0.007","0.558"
"is_male","-0.131","0.090","-0.306"," 0.045","0.145"
"is_latino"," 0.118","0.093","-0.064"," 0.301","0.205"
"is_not_latino_and_black"," 0.117","0.086","-0.052"," 0.286","0.174"
"is_not_latino_and_other"," 0.127","0.132","-0.131"," 0.386","0.335"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","0.788"
"has_partner","-0.053","0.072","-0.193"," 0.088","0.464"
"income_val"," 0.001","0.011","-0.020"," 0.022","0.893"
"hour_coinflip_local"," 0.006","0.004","-0.001"," 0.014","0.105"
"days_between_v1_and_coinflip_local"," 0.012","0.006"," 0.001"," 0.024","0.041"
"any_response_2qs"," 0.085","0.040"," 0.007"," 0.164","0.033"
"any_recent_eligible_dp","-0.455","0.134","-0.717","-0.194","0.001"
"engagement_most_recent_eligible"," 0.568","0.071"," 0.429"," 0.706","0.000"
