"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.893","0.101"," 0.695"," 1.092","0.000"
"age"," 0.000","0.002","-0.003"," 0.004","0.858"
"is_male","-0.091","0.051","-0.190"," 0.008","0.070"
"is_latino"," 0.088","0.054","-0.018"," 0.194","0.105"
"is_not_latino_and_black"," 0.091","0.055","-0.017"," 0.200","0.100"
"is_not_latino_and_other"," 0.050","0.090","-0.126"," 0.226","0.576"
"baseline_tobacco_history","-0.001","0.003","-0.007"," 0.005","0.762"
"has_partner","-0.040","0.044","-0.126"," 0.046","0.361"
"income_val"," 0.000","0.007","-0.013"," 0.014","0.953"
"hour_coinflip_local"," 0.008","0.002"," 0.004"," 0.012","0.000"
"days_between_v1_and_coinflip_local"," 0.010","0.004"," 0.001"," 0.018","0.029"
"any_response_2qs","-0.083","0.024","-0.131","-0.035","0.001"
"any_recent_eligible_dp","-0.292","0.042","-0.375","-0.209","0.000"
"engagement_most_recent_eligible"," 0.038","0.014"," 0.011"," 0.064","0.005"
