"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)","-1.482","0.738","-2.928","-0.037","0.044"
"age"," 0.002","0.005","-0.008"," 0.013","0.665"
"is_male","-0.177","0.167","-0.505"," 0.150","0.289"
"is_latino"," 0.168","0.165","-0.156"," 0.492","0.309"
"is_not_latino_and_black"," 0.139","0.142","-0.140"," 0.418","0.328"
"is_not_latino_and_other"," 0.271","0.205","-0.130"," 0.673","0.186"
"baseline_tobacco_history"," 0.006","0.008","-0.009"," 0.021","0.409"
"has_partner","-0.032","0.123","-0.273"," 0.209","0.794"
"income_val","-0.002","0.018","-0.038"," 0.033","0.910"
"hour_coinflip_local","-0.016","0.006","-0.028","-0.004","0.010"
"days_between_v1_and_coinflip_local"," 0.007","0.009","-0.012"," 0.025","0.467"
"any_response_2qs"," 0.395","0.083"," 0.232"," 0.559","0.000"
"any_recent_eligible_dp"," 0.136","0.707","-1.250"," 1.521","0.848"
"engagement_most_recent_eligible"," 0.378","0.051"," 0.278"," 0.478","0.000"
