"","pbcom_est","pbcom_stderr"
"High Effort Prompt (versus No Prompt)","0.300","0.360"
"High Effort Prompt (versus No Prompt) x Hour of Day","0.660","0.660"
"Low Effort Prompt (versus No Prompt)","0.460","0.580"
"Low Effort Prompt (versus No Prompt) x Hour of Day","0.640","0.560"
"Indicator for High vs. Low","0.420","0.480"
"Indicator for High vs. Low x Hour of Day","0.520","0.460"
"High vs. Low at Day 0","0.420","0.480"
"High vs. Low at Day 1","0.420","0.480"
"High vs. Low at Day 2","0.400","0.500"
"High vs. Low at Day 3","0.400","0.500"
"High vs. Low at Day 4","0.400","0.500"
"High vs. Low at Day 5","0.380","0.500"
"High vs. Low at Day 6","0.360","0.500"
"High vs. Low at Day 7","0.340","0.500"
"High vs. Low at Day 8","0.320","0.480"
"High vs. Low at Day 9","0.280","0.480"
"High vs. Low at Day 10","0.300","0.420"
"High vs. Low at Day 11","0.280","0.380"
"High vs. Low at Day 12","0.280","0.360"
"High vs. Low at Day 13","0.240","0.340"
"High vs. Low at Day 14","0.220","0.360"
"High vs. Low at Day 15","0.200","0.460"
"High vs. Low at Day 16","0.240","0.440"
"High vs. Low at Day 17","0.260","0.500"
"High vs. Low at Day 18","0.300","0.460"
"High vs. Low at Day 19","0.340","0.480"
"High vs. Low at Day 20","0.360","0.500"
"High vs. Low at Day 21","0.360","0.480"
"High vs. Low at Day 22","0.380","0.460"
"High vs. Low at Day 23","0.380","0.440"
"High vs. Low at Day 24","0.380","0.440"
