"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.628","0.224"," 0.188"," 1.068","0.005"
"age"," 0.001","0.002","-0.002"," 0.004","0.519"
"is_male","-0.079","0.044","-0.165"," 0.008","0.074"
"is_latino"," 0.065","0.048","-0.028"," 0.158","0.169"
"is_not_latino_and_black"," 0.068","0.046","-0.022"," 0.158","0.139"
"is_not_latino_and_other"," 0.075","0.069","-0.061"," 0.211","0.281"
"baseline_tobacco_history"," 0.001","0.002","-0.004"," 0.006","0.644"
"has_partner","-0.028","0.038","-0.102"," 0.045","0.451"
"income_val"," 0.001","0.006","-0.011"," 0.012","0.882"
"hour_coinflip_local"," 0.004","0.002"," 0.000"," 0.009","0.062"
"days_between_v1_and_coinflip_local"," 0.007","0.004","-0.002"," 0.015","0.111"
"any_response_2qs"," 0.048","0.023"," 0.002"," 0.093","0.041"
"any_recent_eligible_dp","-0.445","0.212","-0.860","-0.030","0.036"
"engagement_most_recent_eligible"," 0.322","0.034"," 0.256"," 0.389","0.000"
