"","Estimate","95% LCL","95% UCL","StdErr","Wald","df1","df2","p-value"
"(Intercept)"," 0.065"," 0.014"," 0.116"," 0.026"," 6.503"," 1.000","75.000"," 0.013"
"(Intercept)"," 0.760"," 0.504"," 1.016"," 0.129","34.956"," 1.000","75.000"," 0.000"
"age"," 0.001","-0.003"," 0.004"," 0.002"," 0.106"," 1.000","75.000"," 0.746"
"is_female"," 0.083","-0.036"," 0.202"," 0.060"," 1.946"," 1.000","75.000"," 0.167"
"is_latino"," 0.122"," 0.000"," 0.245"," 0.062"," 3.942"," 1.000","75.000"," 0.051"
"is_not_latino_and_black"," 0.080","-0.039"," 0.199"," 0.060"," 1.791"," 1.000","75.000"," 0.185"
"is_not_latino_and_other"," 0.077","-0.076"," 0.231"," 0.077"," 1.012"," 1.000","75.000"," 0.318"
"baseline_tobacco_history"," 0.001","-0.006"," 0.007"," 0.003"," 0.056"," 1.000","75.000"," 0.813"
"has_partner"," 0.008","-0.087"," 0.102"," 0.047"," 0.025"," 1.000","75.000"," 0.874"
"income_val","-0.004","-0.019"," 0.010"," 0.007"," 0.350"," 1.000","75.000"," 0.556"
"hour_coinflip_local"," 0.001","-0.005"," 0.006"," 0.003"," 0.051"," 1.000","75.000"," 0.822"
"days_between_v1_and_coinflip_local"," 0.002","-0.007"," 0.011"," 0.004"," 0.207"," 1.000","75.000"," 0.651"
"any_response_2qs"," 0.025","-0.043"," 0.093"," 0.034"," 0.553"," 1.000","75.000"," 0.459"
"any_recent_eligible_dp","-0.600","-0.740","-0.459"," 0.071","71.841"," 1.000","75.000"," 0.000"
"engagement_most_recent_eligible"," 0.447"," 0.353"," 0.542"," 0.048","88.619"," 1.000","75.000"," 0.000"
