"","contrast","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"(Intercept)","-1.569","-1.569","-2.263","-0.875","-2.396","-0.742"
"I(total_engagement_combined >= 6)TRUE"," 0.443"," 0.443","-0.277"," 1.163","-0.415"," 1.300"
"c_age","-0.027","-0.027","-0.050","-0.004","-0.054"," 0.000"
"c_is_male"," 0.266"," 0.266","-0.218"," 0.750","-0.310"," 0.842"
"c_is_latino"," 0.697"," 0.697","-0.037"," 1.431","-0.178"," 1.571"
"c_is_not_latino_and_black"," 1.029"," 1.029"," 0.309"," 1.748"," 0.171"," 1.886"
"c_is_not_latino_and_other"," 0.944"," 0.944"," 0.153"," 1.734"," 0.002"," 1.885"
"c_baseline_tobacco_history","-0.044","-0.044","-0.081","-0.007","-0.088"," 0.001"
"c_has_partner","-0.449","-0.449","-0.924"," 0.025","-1.015"," 0.116"
"c_income_val"," 0.127"," 0.127"," 0.054"," 0.201"," 0.039"," 0.215"
